MOS,short_file_name,condition_num,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21
3.272727272727273,CH_m1_s2_c42_VideoCallLive_P920toN80_-42dBASL.48k.wav,42,4,3,3,3,3,3,4,2,4,3,4,4,4,3,2,4,4,3,2,3,4
2.5,CH_m2_s1_c28_Babble16dBSNR_AMR-NBmode5_CEP-NR_AMR-NBmode5.48k.wav,28,3,4,2,1,2,2,3,3,3,2,1,3,3,3,1,3,3,3,2,1,3
3.1363636363636362,CH_m2_s3_c30_GSM2L_elClipped_acoustRcv.48k.wav,30,4,2,3,3,3,2,5,3,4,2,3,4,4,2,2,4,3,3,3,3,3
3,CH_m1_s3_c33_HothNoise16dBSNR_EFRlive.48k.wav,33,4,4,2,1,3,3,4,3,3,3,3,4,3,3,2,3,3,3,3,2,4
2.4545454545454546,CH_f2_s4_c32_GSM2L_acoustRcv_-42dBASL.48k.wav,32,3,3,1,3,2,3,4,1,3,2,3,3,4,2,1,2,3,3,1,3,3
2.0454545454545454,CH_f2_s2_c36_HothNoise16dBSNR_noPhoneNS_AMR-NBlive.48k.wav,36,3,2,1,1,2,2,3,2,2,2,1,3,2,2,1,2,3,2,2,1,3
3.1818181818181817,CH_f2_s3_c40_VideoCallLive_P920toN80_-21dBASL.48k.wav,40,4,4,3,3,3,2,5,3,4,3,3,3,4,3,2,3,3,3,3,2,3
3.652173913043478,CH_m1_s2_c46_Skype_2xTor_-21dBASL.48k.wav,46,3,5,3,4,3,3,2,5,4,3,3,4,5,4,3,4,4,4,3,4,4
3.5217391304347827,CH_m2_s3_c48_Babble16dBSNR_Skype_2xTor_-34dBASL.48k.wav,48,4,4,4,3,3,4,2,4,4,4,4,4,5,3,3,2,3,4,2,5,4
1.6521739130434783,CH_f2_s1_c50_Hoth14dBSNR_clipped_AACq30.48k.wav,50,2,2,1,1,2,2,1,2,1,1,1,3,2,2,2,1,1,2,1,4,2
4.043478260869565,CH_m2_s1_c05_MNRU25dBSNR.48k.wav,5,3,4,4,5,3,4,4,4,2,5,5,5,4,4,4,3,4,5,3,5,5
4.130434782608695,CH_m1_s3_c20_EVRC-WB_OP3.48k.wav,20,4,5,4,3,4,5,4,5,4,4,4,5,5,4,4,1,4,4,4,5,4
4,CH_m2_s2_c46_Skype_2xTor_-21dBASL.48k.wav,46,3,5,4,4,4,3,3,5,4,4,4,5,5,4,4,3,3,5,3,5,5
2.8260869565217392,CH_f2_s1_c15_Babble16dBSNR_AMR-WBmode0.48k.wav,15,3,3,3,3,3,3,1,4,2,4,2,4,4,3,3,2,2,3,2,5,2
2.4347826086956523,CH_f2_s1_c28_Babble16dBSNR_AMR-NBmode5_CEP-NR_AMR-NBmode5.48k.wav,28,3,3,3,3,2,3,1,3,2,3,2,3,3,3,3,1,2,2,1,5,2
3.0434782608695654,CH_f2_s2_c39_VideoCallLive_N80toN80.48k.wav,39,4,4,3,3,2,3,2,3,2,2,3,4,4,4,3,2,4,3,2,5,3
3.4782608695652173,CH_f2_s4_c08_16k-MIRSsend_16k-IRSrcv.48k.wav,8,3,4,4,3,3,5,4,3,4,4,4,4,4,4,3,4,3,3,2,4,3
2.782608695652174,CH_f1_s2_c34_AACq30_5percSimPktLoss.48k.wav,34,3,4,2,3,2,3,2,4,2,1,2,4,1,3,2,2,3,4,2,4,4
3.5217391304347827,CH_f2_s3_c25_ISDNtoN80_AMR-NB_badChan.48k.wav,25,3,4,4,3,3,4,3,3,3,4,3,4,3,4,4,4,3,4,3,5,4
